"bin","tree_id","tree_in_bin","prop1","k","mean_mast","mean_coph","mean_preserved_cherries"
"05-10%",13,5,0.0625,19,19.2,0.0152532692747571,0.466666666666667
"05-10%",13,5,0.0625,20,19.9333333333333,0.0463027735425724,0.333333333333333
"05-10%",13,5,0.0625,21,20.6,0.0454211033386509,0.266666666666667
"05-10%",13,5,0.0625,22,21.6666666666667,0.113583347205918,0.6
"05-10%",13,5,0.0625,23,22.5333333333333,0.0978048561174589,0.4
"05-10%",13,5,0.0625,24,23.6666666666667,0.168548838146774,0.6
"05-10%",13,5,0.0625,25,24.7333333333333,0.229691339271371,0.733333333333333
"05-10%",13,5,0.0625,26,25.9333333333333,0.212081183758456,0.666666666666667
"05-10%",13,5,0.0625,27,26.6666666666667,0.347877053248025,0.6
"05-10%",13,5,0.0625,28,27.7333333333333,0.405451146045485,0.733333333333333
"05-10%",13,5,0.0625,29,28.8,0.498702610581914,0.8
"05-10%",13,5,0.0625,30,29.8,0.590551264483786,0.933333333333333
"05-10%",13,5,0.0625,31,30.7333333333333,0.75261175819338,1.2
"05-10%",13,5,0.0625,32,32,1,2
"05-10%",16,6,0.09375,1,31,0.81434193974604,1.26666666666667
"05-10%",16,6,0.09375,2,29.9333333333333,0.651705653656031,1
"05-10%",16,6,0.09375,3,28.6,0.558448489576932,0.733333333333333
"05-10%",16,6,0.09375,4,27.6,0.464849002745975,0.666666666666667
"05-10%",16,6,0.09375,5,26.6666666666667,0.350460255166282,0.733333333333333
"05-10%",16,6,0.09375,6,25.6666666666667,0.317100680159963,0.666666666666667
"05-10%",16,6,0.09375,7,24.5333333333333,0.255400913660047,0.533333333333333
"05-10%",16,6,0.09375,8,23.6,0.170569143004317,0.6
"05-10%",16,6,0.09375,9,22.6,0.13135324797681,0.533333333333333
"05-10%",16,6,0.09375,10,21.8666666666667,0.0903740361299268,0.666666666666667
"05-10%",16,6,0.09375,11,21.0666666666667,0.0465975288542302,0.666666666666667
"05-10%",16,6,0.09375,12,19.4666666666667,0.0448853927609625,0.4
"05-10%",16,6,0.09375,13,18.7333333333333,0.0165372662315733,0.466666666666667
"05-10%",16,6,0.09375,14,18.0666666666667,0.010043270424018,0.6
"05-10%",16,6,0.09375,15,17.6666666666667,-0.00396146519042803,0.2
"05-10%",16,6,0.09375,16,16.5333333333333,-0.00709774553584396,0.0666666666666667
"05-10%",16,6,0.09375,17,17.8666666666667,-0.00395524870208818,0.2
