"bin","k","cor_mast_cherries"
"85-90%",17,0.799732722138567
"85-90%",18,0.694796637793439
"85-90%",19,0.841717265241437
"85-90%",20,0.890138052314891
"85-90%",21,0.862100330361477
"85-90%",22,0.847066006818593
"85-90%",23,0.779557967962454
"85-90%",24,0.695429530404927
"85-90%",25,0.729297692719635
"85-90%",26,0.722573786171993
"85-90%",27,0.732089284832875
"85-90%",28,0.55450212364129
"85-90%",29,0.725228234968506
"85-90%",30,0.648492316656102
"85-90%",31,0.231433137522373
"85-90%",32,NA
"90-95%",1,0.576319816680438
"90-95%",2,0.464486293823835
"90-95%",3,0.731844879037299
"90-95%",4,0.7204832240623
"90-95%",5,0.854505977251956
"90-95%",6,0.807556520164427
"90-95%",7,0.697476407169746
"90-95%",8,0.700977828692069
"90-95%",9,0.829715060610265
"90-95%",10,0.797735974428473
"90-95%",11,0.67281874728719
"90-95%",12,0.78886312522502
"90-95%",13,0.776320766486758
"90-95%",14,0.604373573993628
"90-95%",15,-0.064919141770756
"90-95%",16,-0.111638543635894
"90-95%",17,-0.0794440628089386
"90-95%",18,0.464937903138238
"90-95%",19,0.589051913598556
"90-95%",20,0.706792380239938
"90-95%",21,0.644527604108479
"90-95%",22,0.816659933133435
"90-95%",23,0.785902399181918
"90-95%",24,0.784729822698376
"90-95%",25,0.717526030780855
"90-95%",26,0.654179448757665
"90-95%",27,0.802548961293797
"90-95%",28,0.854670879295236
"90-95%",29,0.884996093621658
"90-95%",30,0.789452823274681
"90-95%",31,0.506694115529632
"90-95%",32,NA
"95-100%",1,0.995881136395931
"95-100%",2,0.996412395857407
"95-100%",3,0.986713014413502
"95-100%",4,0.984447749429402
"95-100%",5,0.976057391751391
"95-100%",6,0.963929252826512
"95-100%",7,0.967568430841737
"95-100%",8,0.873106519524389
"95-100%",9,0.842604603325226
"95-100%",10,0.893146154505306
"95-100%",11,0.799980246868873
"95-100%",12,0.894896453078876
"95-100%",13,0.807862867363034
"95-100%",14,0.73806555987569
"95-100%",15,0.83634343097439
"95-100%",16,0.862023903499811
"95-100%",17,0.488888433909795
"95-100%",18,0.806110349709015
"95-100%",19,0.755996799467815
"95-100%",20,0.777241531969155
"95-100%",21,0.855813663003287
"95-100%",22,0.880093460339889
"95-100%",23,0.830185945004795
"95-100%",24,0.887957154695585
"95-100%",25,0.977385226633372
"95-100%",26,0.960254288342219
"95-100%",27,0.98231310380399
"95-100%",28,0.989698173512464
"95-100%",29,0.991721308853934
"95-100%",30,0.995433438617161
"95-100%",31,0.992760544916
"95-100%",32,NA
