"bin","tree_id","tree_in_bin","prop1","k","rep","mast","coph","preserved_cherries"
"20-25%",1,1,0.21875,21,14,21,0.097745516547945,1
"20-25%",1,1,0.21875,21,15,20,0.0822596046797536,0
"20-25%",1,1,0.21875,22,1,21,0.1469392859376,0
"20-25%",1,1,0.21875,22,2,21,0.1469392859376,0
"20-25%",1,1,0.21875,22,3,15,0.1469392859376,0
"20-25%",1,1,0.21875,22,4,22,0.136599406934641,1
"20-25%",1,1,0.21875,22,5,22,0.116224092570146,1
"20-25%",1,1,0.21875,22,6,22,0.0859888215298912,1
"20-25%",1,1,0.21875,22,7,21,0.136599406934641,0
"20-25%",1,1,0.21875,22,8,21,0.136599406934641,0
"20-25%",1,1,0.21875,22,9,21,0.116224092570146,0
"20-25%",1,1,0.21875,22,10,21,0.0859888215298912,0
"20-25%",1,1,0.21875,22,11,22,0.0859888215298912,1
"20-25%",1,1,0.21875,22,12,22,0.1469392859376,1
"20-25%",1,1,0.21875,22,13,21,0.136599406934641,0
"20-25%",1,1,0.21875,22,14,22,0.116224092570146,1
"20-25%",1,1,0.21875,22,15,22,0.136599406934641,1
"20-25%",1,1,0.21875,23,1,23,0.196584959219205,1
"20-25%",1,1,0.21875,23,2,22,0.196584959219205,0
"20-25%",1,1,0.21875,23,3,22,0.196584959219205,0
"20-25%",1,1,0.21875,23,4,22,0.181280570814629,0
"20-25%",1,1,0.21875,23,5,23,0.181280570814629,1
"20-25%",1,1,0.21875,23,6,22,0.181280570814629,0
"20-25%",1,1,0.21875,23,7,22,0.15642254251254,0
"20-25%",1,1,0.21875,23,8,23,0.196584959219205,1
"20-25%",1,1,0.21875,23,9,23,0.181280570814629,1
"20-25%",1,1,0.21875,23,10,22,0.196584959219205,0
"20-25%",1,1,0.21875,23,11,22,0.181280570814629,0
"20-25%",1,1,0.21875,23,12,23,0.196584959219205,1
"20-25%",1,1,0.21875,23,13,23,0.122269528099876,1
"20-25%",1,1,0.21875,23,14,22,0.181280570814629,0
"20-25%",1,1,0.21875,23,15,22,0.196584959219205,0
"20-25%",1,1,0.21875,24,1,24,0.251969331396466,1
"20-25%",1,1,0.21875,24,2,23,0.251969331396466,0
"20-25%",1,1,0.21875,24,3,24,0.232076449063374,1
"20-25%",1,1,0.21875,24,4,23,0.203459351876043,0
"20-25%",1,1,0.21875,24,5,23,0.232076449063374,0
"20-25%",1,1,0.21875,24,6,23,0.232076449063374,0
"20-25%",1,1,0.21875,24,7,24,0.251969331396466,1
"20-25%",1,1,0.21875,24,8,23,0.232076449063374,0
"20-25%",1,1,0.21875,24,9,24,0.232076449063374,1
"20-25%",1,1,0.21875,24,10,23,0.232076449063374,0
"20-25%",1,1,0.21875,24,11,24,0.232076449063374,1
