"bin","k","rep","mast"
"10-20%",10,4,22
"10-20%",10,5,22
"10-20%",10,6,22
"10-20%",10,7,22
"10-20%",10,8,22
"10-20%",10,9,22
"10-20%",10,10,22
"10-20%",10,11,22
"10-20%",10,12,22
"10-20%",10,13,22
"10-20%",10,14,22
"10-20%",10,15,22
"10-20%",11,1,21
"10-20%",11,2,21
"10-20%",11,3,21
"10-20%",11,4,20
"10-20%",11,5,21
"10-20%",11,6,21
"10-20%",11,7,21
"10-20%",11,8,21
"10-20%",11,9,21
"10-20%",11,10,21
"10-20%",11,11,21
"10-20%",11,12,21
"10-20%",11,13,21
"10-20%",11,14,21
"10-20%",11,15,21
"10-20%",12,1,23
"10-20%",12,2,21
"10-20%",12,3,20
"10-20%",12,4,20
"10-20%",12,5,20
"10-20%",12,6,17
"10-20%",12,7,21
"10-20%",12,8,20
"10-20%",12,9,20
"10-20%",12,10,20
"10-20%",12,11,20
"10-20%",12,12,20
"10-20%",12,13,16
"10-20%",12,14,20
"10-20%",12,15,20
"10-20%",13,1,18
"10-20%",13,2,19
"10-20%",13,3,19
"10-20%",13,4,19
"10-20%",13,5,19
"10-20%",13,6,19
"10-20%",13,7,18
"10-20%",13,8,20
"10-20%",13,9,16
"10-20%",13,10,19
"10-20%",13,11,19
"10-20%",13,12,19
"10-20%",13,13,20
"10-20%",13,14,19
"10-20%",13,15,15
"10-20%",14,1,18
"10-20%",14,2,19
"10-20%",14,3,18
"10-20%",14,4,20
"10-20%",14,5,18
"10-20%",14,6,17
"10-20%",14,7,18
"10-20%",14,8,17
"10-20%",14,9,15
"10-20%",14,10,22
"10-20%",14,11,18
"10-20%",14,12,21
"10-20%",14,13,15
"10-20%",14,14,18
"10-20%",14,15,18
"10-20%",15,1,18
"10-20%",15,2,17
"10-20%",15,3,17
"10-20%",15,4,17
"10-20%",15,5,18
"10-20%",15,6,17
"10-20%",15,7,17
"10-20%",15,8,15
"10-20%",15,9,19
"10-20%",15,10,17
"10-20%",15,11,17
"10-20%",15,12,17
"10-20%",15,13,17
"10-20%",15,14,17
"10-20%",15,15,17
"10-20%",16,1,17
"10-20%",16,2,17
"10-20%",16,3,18
"10-20%",16,4,16
"10-20%",16,5,18
"10-20%",16,6,16
"10-20%",16,7,19
"10-20%",16,8,22
"10-20%",16,9,16
"10-20%",16,10,16
"10-20%",16,11,16
"10-20%",16,12,16
"10-20%",16,13,21
"10-20%",16,14,18
"10-20%",16,15,17
"10-20%",17,1,17
"10-20%",17,2,19
"10-20%",17,3,18
"10-20%",17,4,17
"10-20%",17,5,15
"10-20%",17,6,17
"10-20%",17,7,15
"10-20%",17,8,17
"10-20%",17,9,17
"10-20%",17,10,17
"10-20%",17,11,17
"10-20%",17,12,16
"10-20%",17,13,17
"10-20%",17,14,17
"10-20%",17,15,16
"10-20%",18,1,18
"10-20%",18,2,18
"10-20%",18,3,18
"10-20%",18,4,18
"10-20%",18,5,22
"10-20%",18,6,18
"10-20%",18,7,18
"10-20%",18,8,17
"10-20%",18,9,18
"10-20%",18,10,18
"10-20%",18,11,18
"10-20%",18,12,19
"10-20%",18,13,18
"10-20%",18,14,18
"10-20%",18,15,18
"10-20%",19,1,18
"10-20%",19,2,22
"10-20%",19,3,19
"10-20%",19,4,19
"10-20%",19,5,19
"10-20%",19,6,19
