"bin","k","mean_mast","sd_mast","mean_coph","sd_coph"
"30-35%",10,20.2766666666667,NA,0.137166602615587,NA
"30-35%",11,18.9466666666667,NA,0.0934673966972502,NA
"30-35%",12,18.14,NA,0.0587417793894929,NA
"30-35%",13,17.34,NA,0.031883788112805,NA
"30-35%",14,16.55,NA,0.0124430870691139,NA
"30-35%",15,16.34,NA,0.00077575132463742,NA
"30-35%",16,16.28,NA,-0.00355007880649768,NA
"30-35%",17,16.38,NA,0.000854181562504178,NA
"30-35%",18,16.8,NA,0.0119201117608025,NA
"30-35%",19,17.4766666666667,NA,0.0309532123440043,NA
"30-35%",20,18.38,NA,0.0585915838845446,NA
"30-35%",21,18.9833333333333,NA,0.0936695734158403,NA
"30-35%",22,20.1266666666667,NA,0.136846103475643,NA
"30-35%",23,21.65,NA,0.187320443018682,NA
"30-35%",24,22.8933333333333,NA,0.246033888643577,NA
"30-35%",25,24.0033333333333,NA,0.312666924654549,NA
"30-35%",26,25.2833333333333,NA,0.387018492079057,NA
"30-35%",27,26.5133333333333,NA,0.469845895476201,NA
"30-35%",28,27.8366666666667,NA,0.559204890696222,NA
"30-35%",29,28.8566666666667,NA,0.657972241615536,NA
"30-35%",30,29.8966666666667,NA,0.76393447737412,NA
"30-35%",31,30.9666666666667,NA,0.87797556695297,NA
"30-35%",32,32,NA,1,NA
"35-40%",1,30.93,NA,0.878884821063699,NA
"35-40%",2,29.89,NA,0.76549996680464,NA
"35-40%",3,28.8566666666667,NA,0.659780948675728,NA
"35-40%",4,26.95,NA,0.561833053344801,NA
"35-40%",5,26.05,NA,0.471632774718757,NA
"35-40%",6,24.1366666666667,NA,0.389485257297247,NA
"35-40%",7,23.21,NA,0.315292338299085,NA
"35-40%",8,21.4333333333333,NA,0.248505089120617,NA
"35-40%",9,20.94,NA,0.189812756059633,NA
"35-40%",10,19.5166666666667,NA,0.138770518813669,NA
"35-40%",11,18.9933333333333,NA,0.0955862319987197,NA
"35-40%",12,17.7966666666667,NA,0.0608528462418781,NA
"35-40%",13,17.3133333333333,NA,0.0330904998160927,NA
"35-40%",14,16.63,NA,0.0137088965747459,NA
"35-40%",15,16.3266666666667,NA,0.00230334393033896,NA
"35-40%",16,16.3466666666667,NA,-0.0016936593704797,NA
"35-40%",17,16.3666666666667,NA,0.00209290145629129,NA
"35-40%",18,16.4333333333333,NA,0.0138806562711451,NA
"35-40%",19,17.0033333333333,NA,0.0333193467165005,NA
"35-40%",20,17.4166666666667,NA,0.0606960734400724,NA
"35-40%",21,18.47,NA,0.0957902039285185,NA
"35-40%",22,19.3833333333333,NA,0.139183566148491,NA
"35-40%",23,21.1066666666667,NA,0.189564490806078,NA
"35-40%",24,21.64,NA,0.248451787444891,NA
"35-40%",25,23.6666666666667,NA,0.315120009784045,NA
"35-40%",26,24.3733333333333,NA,0.389537003668228,NA
"35-40%",27,26.0166666666667,NA,0.471921397369513,NA
"35-40%",28,27.1266666666667,NA,0.561764169304493,NA
"35-40%",29,28.8666666666667,NA,0.659784274854042,NA
"35-40%",30,29.9,NA,0.765488821784429,NA
"35-40%",31,30.95,NA,0.878879677246884,NA
"35-40%",32,32,NA,1,NA
"40-45%",1,30.9666666666667,NA,0.878988620233378,NA
"40-45%",2,28.23,NA,0.765752342663944,NA
"40-45%",3,26.3666666666667,NA,0.660222263952712,NA
"40-45%",4,25.2433333333333,NA,0.562508710941574,NA
"40-45%",5,24.17,NA,0.472545829312737,NA
"40-45%",6,22.75,NA,0.390530870999644,NA
"40-45%",7,21.98,NA,0.316159117713117,NA
"40-45%",8,20.8866666666667,NA,0.249647249887509,NA
"40-45%",9,19.8266666666667,NA,0.19093708768069,NA
"40-45%",10,18.8466666666667,NA,0.140091581032881,NA
"40-45%",11,17.85,NA,0.0970441217862285,NA
"40-45%",12,17.6666666666667,NA,0.061839657390707,NA
"40-45%",13,17.0733333333333,NA,0.0344761026836242,NA
"40-45%",14,16.7233333333333,NA,0.014913098042878,NA
"40-45%",15,16.6066666666667,NA,0.00310935179564292,NA
"40-45%",16,16.5166666666667,NA,-0.000836398209464022,NA
"40-45%",17,16.61,NA,0.0031401163076161,NA
"40-45%",18,16.8333333333333,NA,0.0149044970966294,NA
"40-45%",19,16.9566666666667,NA,0.0343391657749696,NA
"40-45%",20,17.6633333333333,NA,0.0618986089185778,NA
"40-45%",21,18.2066666666667,NA,0.0970534492290376,NA
"40-45%",22,18.7133333333333,NA,0.14018366994589,NA
"40-45%",23,20.1666666666667,NA,0.191013758434618,NA
"40-45%",24,20.5166666666667,NA,0.24966440042199,NA
"40-45%",25,22.21,NA,0.316110659456589,NA
"40-45%",26,22.6233333333333,NA,0.39039226920857,NA
"40-45%",27,23.5133333333333,NA,0.472653736948606,NA
"40-45%",28,24.6866666666667,NA,0.562522407717098,NA
"40-45%",29,26.9633333333333,NA,0.660244099943892,NA
"40-45%",30,28.4733333333333,NA,0.765742005694342,NA
"40-45%",31,30.9466666666667,NA,0.878986190239067,NA
"40-45%",32,32,NA,1,NA
"45-50%",1,26.2666666666667,NA,0.878934700503875,NA
"45-50%",2,26.3833333333333,NA,0.765691692999874,NA
"45-50%",3,24.0133333333333,NA,0.660292744049903,NA
"45-50%",4,23.3166666666667,NA,0.562642961928855,NA
"45-50%",5,22.2066666666667,NA,0.472818570230555,NA
"45-50%",6,21.5466666666667,NA,0.390772626979312,NA
"45-50%",7,20.1233333333333,NA,0.316653802634524,NA
"45-50%",8,20.1266666666667,NA,0.250118835554926,NA
"45-50%",9,19.48,NA,0.19150272908395,NA
"45-50%",10,19.03,NA,0.140680126609636,NA
"45-50%",11,17.88,NA,0.0976563257787984,NA
"45-50%",12,17.9766666666667,NA,0.0624753970119472,NA
"45-50%",13,17.6933333333333,NA,0.0350791667767556,NA
"45-50%",14,17.38,NA,0.0155040910533512,NA
"45-50%",15,17.29,NA,0.00379435156573879,NA
"45-50%",16,17.0966666666667,NA,-0.00011674217761515,NA
"45-50%",17,17.27,NA,0.00378776895793488,NA
"45-50%",18,17.66,NA,0.0155182295026758,NA
"45-50%",19,17.61,NA,0.0350902902181145,NA
"45-50%",20,17.94,NA,0.0624717470454089,NA
"45-50%",21,18.36,NA,0.0976572656760172,NA
"45-50%",22,18.8233333333333,NA,0.140650655313615,NA
"45-50%",23,19.4166666666667,NA,0.191466888103599,NA
"45-50%",24,19.9766666666667,NA,0.250176371321416,NA
"45-50%",25,20.6266666666667,NA,0.316532753644494,NA
"45-50%",26,21.7566666666667,NA,0.390792021294871,NA
"45-50%",27,22,NA,0.472791208812852,NA
"45-50%",28,23.74,NA,0.56261523978578,NA
"45-50%",29,24.3066666666667,NA,0.660269842585043,NA
"45-50%",30,25.8366666666667,NA,0.765690541043593,NA
"45-50%",31,26.1733333333333,NA,0.878933312531241,NA
"45-50%",32,32,NA,1,NA
"50-55%",1,26.5733333333333,NA,0.878927606421524,NA
"50-55%",2,26.0866666666667,NA,0.76568641989615,NA
"50-55%",3,24.35,NA,0.660242150406274,NA
"50-55%",4,23.6866666666667,NA,0.562638755820189,NA
"50-55%",5,22.23,NA,0.472809054807813,NA
"50-55%",6,21.3033333333333,NA,0.390808248655132,NA
"50-55%",7,20.75,NA,0.316546504382592,NA
"50-55%",8,20.0333333333333,NA,0.250119682089616,NA
"50-55%",9,19.34,NA,0.191496908150118,NA
"50-55%",10,18.8533333333333,NA,0.140694286432649,NA
"50-55%",11,17.9166666666667,NA,0.0976937982428239,NA
"50-55%",12,17.8233333333333,NA,0.0625203196238368,NA
"50-55%",13,17.57,NA,0.0351219545930452,NA
"50-55%",14,17.2366666666667,NA,0.0155639338216503,NA
"50-55%",15,17.0266666666667,NA,0.00382152935676019,NA
"50-55%",16,17.1166666666667,NA,-7.54154687918787e-05,NA
"50-55%",17,17.0633333333333,NA,0.00383998704658386,NA
"50-55%",18,17.1666666666667,NA,0.0155614186566106,NA
"50-55%",19,17.4566666666667,NA,0.0351238528473222,NA
"50-55%",20,17.5933333333333,NA,0.0624995578183435,NA
"50-55%",21,18.1833333333333,NA,0.0976896229502898,NA
"50-55%",22,18.92,NA,0.140678228754724,NA
"50-55%",23,19.2766666666667,NA,0.191580465883284,NA
"50-55%",24,19.83,NA,0.250140959421712,NA
"50-55%",25,20.6433333333333,NA,0.316584903003078,NA
"50-55%",26,21.6233333333333,NA,0.39083433571189,NA
"50-55%",27,21.4433333333333,NA,0.472840544782368,NA
"50-55%",28,23.5433333333333,NA,0.562643117951006,NA
"50-55%",29,24.3833333333333,NA,0.660268637723103,NA
"50-55%",30,25.8633333333333,NA,0.765682869620927,NA
"50-55%",31,26.6033333333333,NA,0.878927297983161,NA
"50-55%",32,32,NA,1,NA
"55-60%",1,30.9766666666667,NA,0.87898476980139,NA
"55-60%",2,29.0733333333333,NA,0.765729328989264,NA
"55-60%",3,26.9933333333333,NA,0.660224263236081,NA
"55-60%",4,25.7866666666667,NA,0.562516192791615,NA
"55-60%",5,24.9633333333333,NA,0.472692701171501,NA
"55-60%",6,23.1533333333333,NA,0.390557603321396,NA
"55-60%",7,22.4366666666667,NA,0.31623545772282,NA
"55-60%",8,21.5333333333333,NA,0.24975790813714,NA
"55-60%",9,20.4266666666667,NA,0.191080731959545,NA
"55-60%",10,19.6966666666667,NA,0.140153167687988,NA
"55-60%",11,18.6266666666667,NA,0.0971178833793805,NA
"55-60%",12,18.27,NA,0.0620146761631607,NA
"55-60%",13,18.1266666666667,NA,0.0344829347264348,NA
"55-60%",14,17.75,NA,0.0149400771251545,NA
"55-60%",15,17.5466666666667,NA,0.00326103560780247,NA
"55-60%",16,17.5766666666667,NA,-0.000673991237782424,NA
"55-60%",17,17.5433333333333,NA,0.00333880921900205,NA
"55-60%",18,17.6733333333333,NA,0.0149638594026794,NA
"55-60%",19,17.95,NA,0.0345737796303316,NA
"55-60%",20,18.74,NA,0.061906136200815,NA
"55-60%",21,19.1766666666667,NA,0.0971296471635945,NA
"55-60%",22,19.79,NA,0.140165260931424,NA
"55-60%",23,20.5766666666667,NA,0.1910625993821,NA
"55-60%",24,21.1566666666667,NA,0.249714790418335,NA
"55-60%",25,22.4333333333333,NA,0.316217169823615,NA
"55-60%",26,23.1366666666667,NA,0.390482175009134,NA
"55-60%",27,24.65,NA,0.47263553565142,NA
"55-60%",28,25.65,NA,0.56251528578073,NA
"55-60%",29,27.3533333333333,NA,0.660247410257248,NA
